id,text,file,node,lineNumber
YesHand-Start-0,"""Hello hun, hope you don't mind me stopping by.""",YesHand,Start,6
YesHand-Start-1,"""Not at all. What's up?""",YesHand,Start,8
YesHand-Start-2,"""How did you get in here??""",YesHand,Start,9
YesHand-Start-3,"""...""",YesHand,Start,10
YesHand-tcnotatall-4,"""Of course not. I noticed you've completed several missions for one of our top handlers. Codename: The Hand."" (◕‿◕)",YesHand,tcnotatall,17
YesHand-tcnotatall-5,"""I sure did!""",YesHand,tcnotatall,19
YesHand-tcnotatall-6,"""Did I do something wrong?""",YesHand,tcnotatall,20
YesHand-tcnotatall-7,"""Uh...no I didn't u must be thinking of someone else."" (Lie.)",YesHand,tcnotatall,21
YesHand-tchowdidyougetin-8,"""As someone slightly above your pay grade, I have access to virtually ever area in this building. I'm just here to check on you."" (◕‿◕)",YesHand,tchowdidyougetin,28
YesHand-tchowdidyougetin-9,"""Can you...not do that? I kinda like having privacy.""",YesHand,tchowdidyougetin,30
YesHand-tchowdidyougetin-10,"""You're welcome here any time!""",YesHand,tchowdidyougetin,31
YesHand-tcsilenttreatment-11,"""Oh my, feeling quiet today are we? No worries. I'll tell you what's happening here.""",YesHand,tcsilenttreatment,38
YesHand-tcsilenttreatment-12,"""...""",YesHand,tcsilenttreatment,40
YesHand-tcsilenttreatment-13,"""...""",YesHand,tcsilenttreatment,41
YesHand-tcsilenttreatment-14,"""...""",YesHand,tcsilenttreatment,42
YesHand-tcsilenttreatment-15,"""...""",YesHand,tcsilenttreatment,43
YesHand-tcoops-16,"""Of course not!"" (⌒‿⌒) "" You haven't done anything wrong. In fact we're highly impressed with your performance. You took care of those trouble makers in no time at all.""",YesHand,tcoops,50
YesHand-tcoops-17,"""Do I get a reward??""",YesHand,tcoops,52
YesHand-tclie-18,"""Did you just-"" ಠ_ಠ ""Did you really just lie to me? Why would you do that? You accepted those missions using your employee email. I am OBVIOUSLY going to KNOW every time you accept a mission via email, ESPECIALLY if it's from an employee like myself! Were you trying to get caught in a lie on purpose? Were you trying to make me angry with you?"" (╬ Ò﹏Ó)",YesHand,tclie,59
YesHand-tclie-19,Yes,YesHand,tclie,61
YesHand-tclie-20,Yes (Lie),YesHand,tclie,62
YesHand-tclie-21,No,YesHand,tclie,63
YesHand-tclie-22,No (Lie),YesHand,tclie,64
YesHand-tcreward-23,"""It depends."" (￢‿￢ )",YesHand,tcreward,71
YesHand-tcreward-24,"""Depends on what?""",YesHand,tcreward,73
YesHand-tcclassify-25,"""We're trying to find the right *role* for you here. If you answer this question, it might help us. Think carefully. Why did you complete those tasks for The Hand, despite receiving no reward?""",YesHand,tcclassify,80
YesHand-tcclassify-26,"""I was hoping for a reward by the end.""",YesHand,tcclassify,82
YesHand-tcclassify-27,"""I enjoyed the violent nature of the missions they gave me.""",YesHand,tcclassify,83
YesHand-tcclassify-28,"""I felt threatened, I didn't want to anger The Hand so I did the missions.""",YesHand,tcclassify,84
YesHand-tcclassify-29,"""I liked the way The Hand treated me. I completed missions hoping they would continue to treat me like garbage.""",YesHand,tcclassify,85
YesHand-tcenjoy-30,"""Did you really? Hm...I had pegged you as more of a 'good boy' than a 'rabid dog.' Perhaps I misjudged you.""",YesHand,tcenjoy,92
YesHand-tcenjoy-31,"""Can't I be both?""",YesHand,tcenjoy,94
YesHand-tcenjoy-32,"""I've changed since we last spoke.""",YesHand,tcenjoy,95
YesHand-tcthreat-33,"""We certainly don't want to foster that type of hostile work environment. It seems that you and The Hand are not a good match for each other. I'll have a talk with the CEO. From now on I'll be the one to send you optional missions, with lots and lots of rewards!"" (◕‿◕)♡",YesHand,tcthreat,102
YesHand-tcthreat-34,"""Woo!""",YesHand,tcthreat,104
YesHand-tctreatedme-35,"""Oh my! How...unusual."" (ʘ‿ʘ) ""In that case we have the perfect *role* for you within the company. It might have been unfair for me to say The Hand was working you without a reward. Working for The Hand is a reward in and of itself hm?"" ♡( ◡‿◡ )",YesHand,tctreatedme,111
YesHand-tctreatedme-36,"""Yisss."" (snake voice)",YesHand,tctreatedme,113
YesHand-tctreatedme-37,"""Can I meet The Hand sometime?""",YesHand,tctreatedme,114
YesHand-tcendreward-38,"""I see. I'm afraid I can't reward you for missions given by another handler. The Hand has their own *philosophy* when it comes to dispatching agents on missions. It's unfortunate you were roped in to doing so much for them under false pretenses."" (｡•́︿•̀｡)",YesHand,tcendreward,121
YesHand-tcendreward-39,"""Yeah what the hecc! I racked up debt doing those missions!""",YesHand,tcendreward,123
