id,text,file,node,lineNumber
duvetbetrayalapartment-dbastart-0,"ZZzzzZZZzzzZZZZZzzzt ""Hey bestie, can you hear me? Signal's a little weak. Contacting you this way so no one can eavesdrop on us. You were SO cool out there!"" :^O ""You made it look like a piece of cake.""",duvetbetrayalapartment,dbastart,6
duvetbetrayalapartment-dbastart-1,"""Thanks!""",duvetbetrayalapartment,dbastart,8
duvetbetrayalapartment-dbastart-2,"""That mission was actually super difficult.""",duvetbetrayalapartment,dbastart,9
duvetbetrayalapartment-dbastart-3,"""Stop! You're gonna make me blush!""",duvetbetrayalapartment,dbastart,10
duvetbetrayalapartment-dbastart-4,"""...""",duvetbetrayalapartment,dbastart,11
duvetbetrayalapartment-dbathanks-5,"""Don't mention it! You're doing all the work here after all. Sorry I can't be more helpful."" :^(",duvetbetrayalapartment,dbathanks,18
duvetbetrayalapartment-dbathanks-6,"""Acting as my handler is helpful!""",duvetbetrayalapartment,dbathanks,20
duvetbetrayalapartment-dbathanks-7,"""Don't worry, just do what you can.""",duvetbetrayalapartment,dbathanks,21
duvetbetrayalapartment-dbathanks-8,"""You're useless!""",duvetbetrayalapartment,dbathanks,22
duvetbetrayalapartment-dbahard-9,"""It was?? Couldn't tell from my end. Don't worry, the next mission should really be a piece of cake.""",duvetbetrayalapartment,dbahard,29
duvetbetrayalapartment-dbahard-10,"""I hope so.""",duvetbetrayalapartment,dbahard,31
duvetbetrayalapartment-dbahard-11,"""What? Bring on the challenge! I live for it!""",duvetbetrayalapartment,dbahard,32
duvetbetrayalapartment-dbablush-12,"""Hehe, what if I LIKE making you blush?"" ;^)",duvetbetrayalapartment,dbablush,39
duvetbetrayalapartment-dbablush-13,"""Don't get distracted! We gotta focus on the mission!""",duvetbetrayalapartment,dbablush,41
duvetbetrayalapartment-dbablush-14,"""Well I suppose I can't stop you..."" (˵◕‿◕˵)",duvetbetrayalapartment,dbablush,42
duvetbetrayalapartment-dbasilent-15,"""Is something wrong? I might have botched the connection."" :^| ""Looks like you can't reply, but you should be able to hear me. Just wanted to tell you how AMAZING you were out there. Stage 1 is complete, but stage 2 will be much, much more challenging. Expect another email from me soon!""",duvetbetrayalapartment,dbasilent,49
duvetbetrayalapartment-dbasilent-16,Goodbye!,duvetbetrayalapartment,dbasilent,51
duvetbetrayalapartment-dbafocusonmission-17,"""Alright alright, I'll try and hold off on the compliments until *after* we're out of here. Catch you later bestie, I'll have the next mission ready for you soon.""",duvetbetrayalapartment,dbafocusonmission,58
duvetbetrayalapartment-dbafocusonmission-18,Goodbye!,duvetbetrayalapartment,dbafocusonmission,60
duvetbetrayalapartment-cantstopyou-19,"""In that case you better prepare yourself!"" ;;^)) ""Keep looking cool out there and I'll shower you with praise! I gotta log off for now though, expect another email with your next assignment soon.""",duvetbetrayalapartment,cantstopyou,67
duvetbetrayalapartment-cantstopyou-20,Goodbye!,duvetbetrayalapartment,cantstopyou,69
duvetbetrayalapartment-dbabetterbe-21,"""I hesitate to even call it a mission, more of a quick errand. I'll email you details soon.""",duvetbetrayalapartment,dbabetterbe,83
duvetbetrayalapartment-dbabetterbe-22,Goodbye!,duvetbetrayalapartment,dbabetterbe,85
duvetbetrayalapartment-dbabringonthechallenge-23,"""Sorry bestie, your next mission will only be as difficult as you make it for yourself! I'm logging off now, email you again soon.""",duvetbetrayalapartment,dbabringonthechallenge,92
duvetbetrayalapartment-dbabringonthechallenge-24,Goodbye!,duvetbetrayalapartment,dbabringonthechallenge,94
duvetbetrayalapartment-dbahandler-25,"""Thanks for appreciating me."" :^) ""Always wanted to be a handler, seems like I really fit the role huh? I'm gonna get back to work, your next assignment should appear in your inbox soon.""",duvetbetrayalapartment,dbahandler,101
duvetbetrayalapartment-dbahandler-26,Goodbye!,duvetbetrayalapartment,dbahandler,103
duvetbetrayalapartment-dbadowhatyoucan-27,"""Will do! I'll have your next assignment ready soon, keep an eye on your inbox.""",duvetbetrayalapartment,dbadowhatyoucan,110
duvetbetrayalapartment-dbadowhatyoucan-28,Goodbye!,duvetbetrayalapartment,dbadowhatyoucan,112
duvetbetrayalapartment-dbauseless-29,"""Not as useless as a dumb meathead like you."" ;^) ""I'm out here doing the REAL work while you're doing what? Completing missions? Pfff, as if that even compares."" ;;^)) ""You crack  me up bestie, I'll shoot the next assignment to your inbox soon.""",duvetbetrayalapartment,dbauseless,119
duvetbetrayalapartment-dbauseless-30,Goodbye!,duvetbetrayalapartment,dbauseless,121
