id,text,file,node,lineNumber
munkeysecret-mstart-0,"""OOH OOH AH AAHHHH AHHH""",munkeysecret,mstart,6
munkeysecret-mstart-1,"""I can't understand you.""",munkeysecret,mstart,8
munkeysecret-mstart-2,"""Heheh, monke.""",munkeysecret,mstart,9
munkeysecret-mstart-3,"""...""",munkeysecret,mstart,10
munkeysecret-mcantunderstand-4,"""OOOOH OOH OOH OOH OOH!""",munkeysecret,mcantunderstand,17
munkeysecret-mcantunderstand-5,Goodbye!,munkeysecret,mcantunderstand,19
munkeysecret-mhehe-6,"""AHHHH AH AHA AH AH OOH OOOH""",munkeysecret,mhehe,26
munkeysecret-mhehe-7,Goodbye!,munkeysecret,mhehe,28
munkeysecret-mgoodbye-8,Empty Text,munkeysecret,mgoodbye,35
munkeysecret-silent-9,"""The elevator is back where you came from. Move along.""",munkeysecret,silent,42
munkeysecret-silent-10,Goodbye!,munkeysecret,silent,44
