id,text,file,node,lineNumber
showerdaemonfix-sdstart-0,"""Boo.""",showerdaemonfix,sdstart,6
showerdaemonfix-sdstart-1,"""GAH!""",showerdaemonfix,sdstart,8
showerdaemonfix-sdstart-2,"""Who the hell are you?""",showerdaemonfix,sdstart,9
showerdaemonfix-sdstart-3,"""...""",showerdaemonfix,sdstart,10
showerdaemonfix-sdafraid-4,"""Calm down! Like damn there's no need to freak out.""",showerdaemonfix,sdafraid,17
showerdaemonfix-sdafraid-5,"""There's a demon in my shower. I'm allowed to freak out.""",showerdaemonfix,sdafraid,19
showerdaemonfix-sdafraid-6,"""I'm calm."" (lie)",showerdaemonfix,sdafraid,20
showerdaemonfix-sdsilent-7,"""Don't mind me. Daemons tend to lurk in places like this. I'll be gone by the time you get back.""",showerdaemonfix,sdsilent,27
showerdaemonfix-sdsilent-8,Goodbye!,showerdaemonfix,sdsilent,29
showerdaemonfix-sdgoodbye-9,Empty Text,showerdaemonfix,sdgoodbye,36
showerdaemonfix-sdwho-10,"""I'm the nefarious Shower Daemon, here to steal your soaps, shampoos, and all the hot water."" >:3",showerdaemonfix,sdwho,43
showerdaemonfix-sdwho-11,"""That's MY soap, MY shampoo, and MY hot water! Get out!""",showerdaemonfix,sdwho,45
showerdaemonfix-sdwho-12,"""You can stay"" :) ""I kinda wanted a roommate.""",showerdaemonfix,sdwho,46
showerdaemonfix-sdwho-13,"""Is that all?""",showerdaemonfix,sdwho,47
showerdaemonfix-sdgetout-14,"""Look buddy, the soap ain't yours, the shampoo ain't yours, the shower— hell nothing in this apartment belongs to you. The corporation is just lettin you borrow it. They're the ones who should be mad at me, not you.""",showerdaemonfix,sdgetout,54
showerdaemonfix-sdgetout-15,"""The corporation doesn't barge in here and ignore my privacy at least!""",showerdaemonfix,sdgetout,56
showerdaemonfix-sdgetout-16,"""Just tell me how I can get you to leave.""",showerdaemonfix,sdgetout,57
showerdaemonfix-sdallowed-17,"""Well it's true that no one is gonna stop you, except for maybe the *Daemon Police* should they catch wind of your activities. Look I'm sorry about the scare. I just swung by to grab a shower and deliver some forbidden knowledge should you choose to accept it.""",showerdaemonfix,sdallowed,64
showerdaemonfix-sdallowed-18,"""I'll take the forbidden knowledge.""",showerdaemonfix,sdallowed,65
showerdaemonfix-sdallowed-19,"""I don't wanna hear anything forbidden, just get out.""",showerdaemonfix,sdallowed,66
showerdaemonfix-sdcalm-20,"""Uh suuuure alright."" :|",showerdaemonfix,sdcalm,73
showerdaemonfix-sdcalm-21,"""So what are you doing here?""",showerdaemonfix,sdcalm,75
showerdaemonfix-sdcalm-22,"""I don't care about you or what you're doing here, but you better be gone by the time I come back.""",showerdaemonfix,sdcalm,76
showerdaemonfix-sdall-23,"""No actually. I also come bearing forbidden knowledge. Would you care to hear it?""",showerdaemonfix,sdall,83
showerdaemonfix-sdall-24,"""Sure why not.""",showerdaemonfix,sdall,85
showerdaemonfix-sdall-25,"""I am 1,000,000,000% sure that I do not want to hear it.""",showerdaemonfix,sdall,86
showerdaemonfix-sdwhatdoing-26,"""Where else would a a Shower Daemon be if not the shower? Worry not, I come bringing forbidden knowledge.""",showerdaemonfix,sdwhatdoing,93
showerdaemonfix-sdwhatdoing-27,"""Lay it on me.""",showerdaemonfix,sdwhatdoing,95
showerdaemonfix-sdwhatdoing-28,"""I don't want to hear forbidden knowledge.""",showerdaemonfix,sdwhatdoing,96
showerdaemonfix-sdbetterbegone-29,"""Heheh I'll just let myself out while you're gone.""",showerdaemonfix,sdbetterbegone,103
showerdaemonfix-sdbetterbegone-30,Goodbye!,showerdaemonfix,sdbetterbegone,105
showerdaemonfix-sdlayit-31,"""See the rain outside? How it falls all around us? The apartment keeps us dry; a dry comfortable box. But sometimes we need the rain on our skin, so we retreat to the shower within the apartment.""",showerdaemonfix,sdlayit,112
showerdaemonfix-sdlayit-32,"""I don't see how this knowledge is forbidden...or knowledge.""",showerdaemonfix,sdlayit,114
