id,text,file,node,lineNumber
thejungleconvofinal-jstart-0,"""Hello! Welcome. Can I get you anything? Maybe a bag of low carb chips?""",thejungleconvofinal,jstart,6
thejungleconvofinal-jstart-1,"""Sure! Chips sound good.""",thejungleconvofinal,jstart,8
thejungleconvofinal-jstart-2,"""Nah that's okay. I’m not hungry.""",thejungleconvofinal,jstart,9
thejungleconvofinal-jstart-3,"""...""",thejungleconvofinal,jstart,10
thejungleconvofinal-jyeschips-4,"""I'll have my assistant bring some. Got a favorite flavor?""",thejungleconvofinal,jyeschips,17
thejungleconvofinal-jyeschips-5,"""Salt and Vinegar.""",thejungleconvofinal,jyeschips,19
thejungleconvofinal-jyeschips-6,"""BBQ.""",thejungleconvofinal,jyeschips,20
thejungleconvofinal-jyeschips-7,"""Sour Cream and Onion.""",thejungleconvofinal,jyeschips,21
thejungleconvofinal-jyeschips-8,Something else...,thejungleconvofinal,jyeschips,22
thejungleconvofinal-jnochips-9,"""Perhaps it was unprofessional of me to ask. Anyway, welcome again to my office, we have a lot to talk about.""",thejungleconvofinal,jnochips,29
thejungleconvofinal-jnochips-10,"""Do we? I'm a little confused about what's going on here.""",thejungleconvofinal,jnochips,31
thejungleconvofinal-jsilent-11,"""Prefer field work to conversation? No problem. We're taking control of this place and we want you. Step through the elevator beside my desk if you wish to join us. Return to the elevator you came from and we'll let you walk away. It’s only fair after all you’ve done.""",thejungleconvofinal,jsilent,38
thejungleconvofinal-jsilent-12,Goodbye!,thejungleconvofinal,jsilent,40
thejungleconvofinal-jflave-13,"$orderedchips ""Mmmm. Sounds good. I think I'll have a bag of those myself. Anyway, welcome again to my office, we have a lot to talk about.""",thejungleconvofinal,jflave,47
thejungleconvofinal-jflave-14,"""Do we? I'm a little confused about what's going on here.""",thejungleconvofinal,jflave,49
thejungleconvofinal-jsomething1-15,"""...""",thejungleconvofinal,jsomething1,56
thejungleconvofinal-jsomething1-16,"""Spicy Jalapeño.""",thejungleconvofinal,jsomething1,58
thejungleconvofinal-jsomething1-17,"""Salt n' Peppa.""",thejungleconvofinal,jsomething1,59
thejungleconvofinal-jsomething1-18,"""Cheddar Cheese.""",thejungleconvofinal,jsomething1,60
thejungleconvofinal-jsomething1-19,Something else...,thejungleconvofinal,jsomething1,61
thejungleconvofinal-jsomething2-20,"""...""",thejungleconvofinal,jsomething2,68
thejungleconvofinal-jsomething2-21,"""Sweet Onion.""",thejungleconvofinal,jsomething2,70
thejungleconvofinal-jsomething2-22,"""Pizza.""",thejungleconvofinal,jsomething2,71
thejungleconvofinal-jsomething2-23,"""Cool Cool Ranch.""",thejungleconvofinal,jsomething2,72
thejungleconvofinal-jsomething2-24,Something else...,thejungleconvofinal,jsomething2,73
thejungleconvofinal-jsomething3-25,"""...""",thejungleconvofinal,jsomething3,80
thejungleconvofinal-jsomething3-26,"""Honey Dijon.""",thejungleconvofinal,jsomething3,82
thejungleconvofinal-jsomething3-27,"""Chili Lime.""",thejungleconvofinal,jsomething3,83
thejungleconvofinal-jsomething3-28,"""Baked Shrimp.""",thejungleconvofinal,jsomething3,84
thejungleconvofinal-jsomething3-29,Something else...,thejungleconvofinal,jsomething3,85
thejungleconvofinal-jsomething4-30,"""Any flavor you want, we probably have it.""",thejungleconvofinal,jsomething4,92
thejungleconvofinal-jsomething4-31,"""Xtreme Nacho.""",thejungleconvofinal,jsomething4,94
thejungleconvofinal-jsomething4-32,"""Sweet and Spicy.""",thejungleconvofinal,jsomething4,95
thejungleconvofinal-jsomething4-33,"""Dill Pickle.""",thejungleconvofinal,jsomething4,96
thejungleconvofinal-jsomething4-34,"""Just regular flavor is fine.""",thejungleconvofinal,jsomething4,97
thejungleconvofinal-jfconfused-35,"""Like I said, there's a lot to discuss. I should begin by introducing myself. My name is thejungle, and I’m sort of in charge of this organization. I invited you here to recruit you.""",thejungleconvofinal,jfconfused,104
thejungleconvofinal-jfconfused-36,"""Don't I already work for you?""",thejungleconvofinal,jfconfused,106
thejungleconvofinal-jfconfused-37,"""Why would you want me?""",thejungleconvofinal,jfconfused,107
thejungleconvofinal-jfalreadyworkforyou-38,"""You technically work for the corporation, a position you were forced into. But myself and my associates are not the corporation. We are merely using this space to accomplish greater ends.""",thejungleconvofinal,jfalreadyworkforyou,114
thejungleconvofinal-jfalreadyworkforyou-39,"""So...you people are just squatting here?""",thejungleconvofinal,jfalreadyworkforyou,117
thejungleconvofinal-jfalreadyworkforyou-40,"""You've all gone rogue then?""",thejungleconvofinal,jfalreadyworkforyou,118
thejungleconvofinal-jsquatting-41,"""You could say that. But this situation is temporary. Thanks to your efforts, and the efforts of many other agents, we will soon have full control of this facility and its parent corporation.""",thejungleconvofinal,jsquatting,125
thejungleconvofinal-jsquatting-42,"""Just like that? I doubt the current owners will be happy.""",thejungleconvofinal,jsquatting,127
thejungleconvofinal-jsquatting-43,"""You used me?""",thejungleconvofinal,jsquatting,128
thejungleconvofinal-jpreviousowners-44,"""Current owners? This corporation, like all others, is owned by no one. Its ownership has been scattered— not among individuals, but divided among countless other corporations.""",thejungleconvofinal,jpreviousowners,135
thejungleconvofinal-jpreviousowners-45,"""This doesn't make sense, someone has to own something at some point. Someone has to make the decisions.""",thejungleconvofinal,jpreviousowners,137
thejungleconvofinal-joldsoul-46,"""You're an old soul, just like myself, so your view of the world is antiquated. I would like to ask you a question, one that should help to broaden your horizons.""",thejungleconvofinal,joldsoul,144
thejungleconvofinal-joldsoul-47,"""Ask away.""",thejungleconvofinal,joldsoul,146
thejungleconvofinal-joldsoul-48,"""Lemme hear the question""",thejungleconvofinal,joldsoul,147
thejungleconvofinal-joldsoul-49,"""Go ahead.""",thejungleconvofinal,joldsoul,148
thejungleconvofinal-joldsoul-50,"""Lay it on me.""",thejungleconvofinal,joldsoul,149
thejungleconvofinal-jwhatisthename-51,"""What is the name of this corporation?""",thejungleconvofinal,jwhatisthename,156
thejungleconvofinal-jwhatisthename-52,"""I have no idea.""",thejungleconvofinal,jwhatisthename,158
thejungleconvofinal-jwhatisthename-53,"""Does the name really matter?""",thejungleconvofinal,jwhatisthename,159
thejungleconvofinal-jwhatisthename-54,"""I haven't been paying much attention, is this something I should know?""",thejungleconvofinal,jwhatisthename,160
thejungleconvofinal-jnoideaname-55,"""I can't tell you the name either. Know why that is?""",thejungleconvofinal,jnoideaname,167
thejungleconvofinal-jnoideaname-56,"""Because it has no name?""",thejungleconvofinal,jnoideaname,169
thejungleconvofinal-jnoideaname-57,"""Because the name is kept secret?""",thejungleconvofinal,jnoideaname,170
thejungleconvofinal-jnoideaname-58,"""Because the name is too long to memorize?""",thejungleconvofinal,jnoideaname,171
thejungleconvofinal-jnoideaname-59,"""I really have no idea.""",thejungleconvofinal,jnoideaname,172
thejungleconvofinal-jnamereallymatter-60,"""It's not that important I guess. But isn't it kind of strange that you don't have the answer? Can you guess why?""",thejungleconvofinal,jnamereallymatter,179
thejungleconvofinal-jnamereallymatter-61,"""Because it has no name?""",thejungleconvofinal,jnamereallymatter,181
thejungleconvofinal-jnamereallymatter-62,"""Because the name is kept secret?""",thejungleconvofinal,jnamereallymatter,182
thejungleconvofinal-jnamereallymatter-63,"""Because the name is too long to memorize?""",thejungleconvofinal,jnamereallymatter,183
thejungleconvofinal-jnamereallymatter-64,"""I really have no idea.""",thejungleconvofinal,jnamereallymatter,184
thejungleconvofinal-jhasnoname-65,"""Not a bad guess. Artists are known to label their works 'Untitled' from time to time. But we aren't dealing with artists here. Corporations are the ones naming themselves, and an elegant 'Untitled' isn't going to cut it.""",thejungleconvofinal,jhasnoname,191
thejungleconvofinal-jhasnoname-66,"""What does cut it these days then?""",thejungleconvofinal,jhasnoname,193
thejungleconvofinal-jsecretname-67,"""I can see why you'd think that. Out of all the menus and facilities you've encountered, surely the name should be stamped somewhere right? But no, the name is not a secret. There's a different reason you haven't encountered it yet.""",thejungleconvofinal,jsecretname,200
thejungleconvofinal-jsecretname-68,"""Why is that?""",thejungleconvofinal,jsecretname,202
thejungleconvofinal-jnametoolong-69,"""That's a silly response. Are you trying to make a joke? If so, it's very funny, and the correct answer.""",thejungleconvofinal,jnametoolong,209
thejungleconvofinal-jnametoolong-70,Woo hoo!,thejungleconvofinal,jnametoolong,211
thejungleconvofinal-jterabyte-71,"""The name of this corporation is 87 terabytes in length. It would take years to speak it aloud, and that's assuming it was written in any form of human language, which it is not. In the current era, all corporations have names like this.""",thejungleconvofinal,jterabyte,218
thejungleconvofinal-jterabyte-72,"""That's a terrible name! Shouldn't it be short enough for people to memorize?""",thejungleconvofinal,jterabyte,220
thejungleconvofinal-jterabyte-73,"""Why don't we just make up a shorter name for it?""",thejungleconvofinal,jterabyte,221
thejungleconvofinal-jterabyte-74,"""So uh...why the name so long?""",thejungleconvofinal,jterabyte,222
thejungleconvofinal-jthings-75,"""A long time ago, people stopped being the reason for things, and things took reasons upon themselves.""",thejungleconvofinal,jthings,229
thejungleconvofinal-jthings-76,"""People don't matter anymore?""",thejungleconvofinal,jthings,231
thejungleconvofinal-jthings-77,"""Are you talking about artificial intelligence?""",thejungleconvofinal,jthings,232
thejungleconvofinal-jthings-78,"""How did this come to pass?""",thejungleconvofinal,jthings,233
thejungleconvofinal-jai2-79,"""AI plays a role, but the status quo is also maintained by people and their routines. Workers completing contractually obligated tasks they do not understand, mercenaries conducting missions without a cause. All of them directed by corporations without leadership, not human or AI or AE. The corporations are miraculously owned and directed by nothing other than one another.""",thejungleconvofinal,jai2,240
thejungleconvofinal-jai2-80,"""Surely there are people who refuse to accept their position.""",thejungleconvofinal,jai2,242
thejungleconvofinal-jai2-81,"""The buck must stop somewhere.""",thejungleconvofinal,jai2,243
thejungleconvofinal-jpurpose-82,"""That is the purpose of our organization. To prevent the end of history and to return the control of *things* to humanity.""",thejungleconvofinal,jpurpose,250
thejungleconvofinal-jpurpose-83,"""Return control to humanity, or take control yourself?""",thejungleconvofinal,jpurpose,252
thejungleconvofinal-jpurpose-84,"""Can history end?""",thejungleconvofinal,jpurpose,253
thejungleconvofinal-jpurpose-85,"""I'm in. Where do I sign up?""",thejungleconvofinal,jpurpose,254
thejungleconvofinal-jrefuse-86,"""Employees and debtors sometimes rise against their corporate benefactors, only to find themselves hopelessly outmatched. Others, like those in my organization, survive outside the system. We ignore the contracts and debt notices. We scout out the buildings with the least security and make homes in them. We infiltrate the structures that seek to bind us and live like parasites, drinking our fill of the nectar that falls our way.""",thejungleconvofinal,jrefuse,261
thejungleconvofinal-jrefuse-87,"""Living like a parasite doesn't sound so bad.""",thejungleconvofinal,jrefuse,263
thejungleconvofinal-jrefuse-88,"""I'd much rather settle for a cushy job than live dangerously like that.""",thejungleconvofinal,jrefuse,264
thejungleconvofinal-jwilljoin-89,"""Will you join our organization?""",thejungleconvofinal,jwilljoin,271
thejungleconvofinal-jwilljoin-90,"""Yes.""",thejungleconvofinal,jwilljoin,273
thejungleconvofinal-jwilljoin-91,"""No.""",thejungleconvofinal,jwilljoin,274
thejungleconvofinal-jyes-92,"$toldjunglestay ""I'm elated. We're going to accomplish great, and necessary things together. Please step through this elevator beside me.""",thejungleconvofinal,jyes,281
thejungleconvofinal-jyes-93,Goodbye!,thejungleconvofinal,jyes,283
